错误代号  详细说明		产生原因				解决方案
0	  NEO未初始化		使用NEO库函数前没有经过初始化		在开始使用NEO库函数之前调用neo_init();
1	  常规内存不足		系统中没有足够的内存供申请		优化程序结构或使用扩展/充内存
2	  创建文件失败		硬盘没有足够的空间或打开文件总数过多	释放硬盘空间或关闭一些未使用的文件
3	  高级鼠标模块未初始化	在使用高级鼠标模块之前未将其初始化	请先调用install_mouse()
4	  显示模式错误		试图在文本模式下调用绘图函数		先切换到相应的图形模式
5	  文件类型错误		不支持的文件格式			确认输入的文件格式是否被NEO支持
6	  找不到文件		目标文件不存在				确认文件位于工作目录
7	  鼠标未安装		未检测到鼠标硬件			请将鼠标器与PC连接
8	  源文件错误		输入文件不存在				确认输入文件位于工作目录
9	  目标文件错误		输出文件建立失败			释放硬盘空间或关闭一些未使用的文件
10	  声卡配置错误		声卡端口等设置错误			重新设置端口
11	  非VESA标准显卡	显卡不符合VESA制订的标准		换上VESA标准的显卡
12	  功能模块未激活	使用了未开启的功能模块			使用相应的编译开关开启模块
13	  内存可能发生泄漏	使用了空指针				可能是应该内存空间申请失败造成
14	  键盘模块未安装	使用NEO扩展键盘模块前未初始化		先调用install_keyboard()
